,Tweet
158,"#BlueTickMeltdown | The existing system of verification wasn't transparent before. Twitter has now made it democratic now to introduce payment for blue tick: Lloyd Mathias, Business Strategist
#Twitter #BlueTick #ArnabGoswami https://t.co/DZzXAvDcQ2"
159,"@elonmusk @EdKrassen think paying 8$ is equality,showing everyone is equal and verification is done when someone pays it I guess, so that is much better than Twitter verifying it without payment, so that there is no obligation from Twitter verifying wrong account just because just some huge followers"
160,"#BlueTickMeltdown | The existing system of verification wasn't transparent before. Twitter has now made it democratic now to introduce payment for blue tick: Lloyd Mathias, Business Strategist

https://t.co/2qB8FOmqon

#Twitter #BlueTick #ArnabGoswami https://t.co/GasAf5AJ9s"
161,"Anybody can buy a ""payment-verified"" account. There is no actual verification on Twitter any more.

#bbcpm"
162,@elonmusk @EdKrassen Should have one time payment verification for anyone (including celebrities) that requires an id and such. And then separate twitter blue out into something else. A blend of the old and new system
163,"Twitter removing the verification check is wild because there’s no way 😭 this all started with y’all giving us the mark with a damn payment every month. If y’all didn’t do this, we would’ve been fine 🌚"
164,"@StealthQE4 The real question is why would anyone pay to validate themselves?

The wheels have come off twitter. Matter of time now before an alternative doesn't require payment for ""verification"""
165,"@brandonjinx @Ian_Schwartzman Twitter blue check DOESNT require actual verification of a person’s identity, just a working phone number and payment. That misunderstanding is more common among older people &amp; people with lower digital literacy makes the process harder."
166,"If twitter was absolutely serious about verification, then they’d allow people to do so without having to pay money. Spotify, for example, verifies artists without making them pay for it. The payment part is because Elon wants to change Twitter’a business model."
167,"Ghanaian celebrities have lost their Twitter verification badge due to a $8 payment.

Enjoy reading more news stories here

https://t.co/s7JndIvaEm

#BlueTick|#Presec|#Katara|#JBEE|#Gabby|#Obrafour|#Adum|#Sarkodie|#KiDi|#UPSA|#Kumasi|#5thDimension|#Nagelsmann https://t.co/Rk9ar1SKMm"
168,"@okumaonome @AdonuOluchukwu @IAmContentKing @ndekekwe This is not entirely true though. It is possible to work with payment gateways to match “name on card” against “name on file (Account Name)”. 

Twitter has made it clear that subscription is just an extra leg added to the original verification process, hence, it’s more robust."
169,"The opposite is happening, Alex. The range of anti-fraud and verification techniques available to Twitter is impressive and can be seen on their payment provider Stripe's Privacy page. For example, ""Stripe may collect additional information about your account to allow Stripe and its financial partners to detect fraud and/or fulfill financial compliance requirements. These requirements come from our financial partners or regulatory obligations and are intended to prevent abuse of the financial system. Examples of missing data fields include your address, phone number, social security number, date of birth, employer identification number, or website URL. Stripe may be able to fill in some of this information by leveraging data we have collected from one of your other Stripe accounts or by obtaining data from a third party. We will show Business Users the information that we are associating with their account on your dashboard, and Business Users may update or correct that information via your dashboard.""
https://t.co/uejXAb3kj9"
170,"@channelstv Did you read the head line carefully, channels
 wrote Twitter just removed, Obi, TinubuAtiku, others . The headline motivator Obi himself and others. I know Obi will come through with his verification badge payment. 🙏"
171,"Getting the #BlueCheckMark is becoming business to @Twitter, @TwitterBusiness, which is now based on subscription/payment, losing its previously set verification system intended to communicate the authenticity of a #TwitterAccount. 

@TwitterBlue
@AFPFactCheck
@AFP https://t.co/8pRXDrZHsd"
172,"@Gashaw91096073 Now getting the #BlueCheckMark is becoming business to @Twitter, @TwitterBusiness, which is based on subscription/payment, losing its previously set verification system intended to communicate the authenticity of a #TwitterAccount. 

@TwitterBlue https://t.co/hvCOAUcS1Y"
173,"Elon Musk still reviewing accounts that had legacy verification before after payment for Twitter Blue.  

Lol"
174,"From my drafts, posting soon:

""Rocket Saint"" publicly violated peoples' private information by paying for their Twitter verification
No one should be able to add payment information to an account that is not theirs not from the front end nor at the back end."
175,"The internet has been buzzing with news of Nigerian entertainers losing their highly coveted Twitter verification badges. Elon Musk tightened the screws, enforcing payment for the blue tick - thereby leading to some of our favourites losing their verified status.

The intern…"
176,"The internet has been buzzing with news of Nigerian entertainers losing their highly coveted Twitter verification badges. 

Elon Musk tightened the screws, enforcing payment for the blue tick - thereby leading to some of our favourites losing their verified status."
177,Twitter new blue checkmark - there is no 'verification'. just a payment and a mobile number given. its fraud heaven.  At least its also easier to know who to block now 😉
178,"@AOC Does the ""Verification"" mean verification? At least a successful payment is verified by a bank.  Even Michelle Obama paid for the Twitter Blue! 👍"
179,"HEADLINES: Davido, Wizkid, Burna Boy, Others Lose Twitter Verification as Elon Musk Enforces Payment Before Blue Check

#clearviewtelevision | Elon Musk | Twitter Verification | Twitter Blue | Wizkid | Davido | Burnaboy | Yorubas | Emeka Offor | #Eid2023  #EidUlFitr #EidAlFitr https://t.co/cbr4KDNAix"
180,"@FairgroundMoney @DaveZ_uk Not really free. Twitter makes its money from content provided by users without payment. Verification mostly went to known figures likely to be of above average value to Twitter.

Unfortunately Musk has crashed Twitter's advertising business (down 80%), hence the new charges"
181,"@NicksonTwesigye @Reuters No, it's using a third party payment system... elin did not build twitter payment system for verification"
182,Most Prominent and rich Kenyans have boycotted the Twitter monthly subscriptions payment for blue verification check mark
183,"As a freelancer, I've dealt with payment challenges from affluent clients who'd rather play games than pay up. Maybe it's the same mentality behind subscribing to Twitter blue for a verification checkmark. Some of these monied people are very stingy."
184,"Hi @verified @Twitter &amp; @TwitterSupport,
I still wish to get the additional Grey Verified mark as a declared #political #candidate, and I am still evaluating and considering the value of the new version of Twitter Verification &amp; its value proposition, since payment for..."
185,@SCOTUSblog Requiring payment for verification might be the best thing to happen to Twitter quality.
186,Twitter verification was modern day casteism. Now everyone is feeling like OBC with or without payment. 😬
187,"The payment verification is just one layer in an authenticity system that will probably have a few layers.

Impersonation is still not allowed.

The payment ver of Twitter Blue was the simplest way to take the teeth out of bot armies and scammers.  Seems that it accomplishes a bunch of other things too.

But you’re right that more is necessary to establish a totally safe platform."
188,"I’ll bet you a dollar to a donut that the Whitehouse pays for their subscriptions to all of the major newspapers. Why would Twitter be any different? Maybe Twitter will make a special compensation Joe Biden, and take payment for verification in Chinese Yen🤷🏼‍♂️"
189,"Right, and when I add a payment method for Blue it doesn't even ask for a name. Still, there are ways to gleen the name associated with the card and compare it against the name on the Twitter account. Also the billing address. The range of anti-fraud and verification techniques available to Twitter can be seen on their payment provider Stripe's Privacy page. Regardless of verification processes, no one can duplicate a user handle and pretend to be that user, except through a similar-looking handle (which is ofc against their Terms). None of this is to say these safeguards can't be overcome (same as the old system); it's just not trivial to do so, and it took weeks (after multiple tries) for me to get verified with the checkmark, as they're not just relying on payment alone.
https://t.co/uejXAb3kj9"
190,"@Birdyword And this bit about Elon comping people their payment (Lebron James, Stephen King) so they would be on there as Blue Ticks is just plain 🤡. 

Same as Twitter taking on the cost of verification for some and not others because it was in their interest. Like the old system."
191,"@waltmossberg Would you pay $20 one-time for verification, unbundled from the other services? A one-time payment would help deter would-be impostors, verify through the payment mechanism, and make Twitter profitable/sustainable."
192,i bet within 2 years twitter blue checks will be free if you link your other accounts and banking information so twitter becomes a social media/payment/commerce hub. Past blue check systems of verification of legacy/important accounts means nothing in this context
193,Paid Twitter verification could've made so much more sense if it was just a one-time payment to expedite an identity verification while keeping everyone else's preexisting Blue Checks since they were already verified.
194,"@ralphganthier If you change/alter your name, you have to get verified again. Basically, the new system take out the “racketeurs”. Also verified people will start having new features. One of Musk plan is to transform twitter into a payment app as well, therefore verification is needed."
195,"Who to have your verification barge without payment on Twitter 

Open trend to watch how to go about it https://t.co/p1avDOT02j"
196,@chaddukes @bussells It’s payment verification and leads to the broader effort to make twitter less of a bot and troll farm. This way folks can quickly opt to only see verified accounts and it’s not an exclusive thing to be verified.
197,"@birchpolypore I know it should be a 1 off payment it would make it a lot better, not many people have got £8/£11 a month to spend on a verification! I’ll be honest what they are doing with twitter is making it a rubbish platform! It’s getting worse than Facebook"
198,"@Jody_Houser @Iron_Spike My guess is: either Twitter is keeping his blue check going for “just because” reasons, or else someone has hacked his Twitter verification and made the payment in preparation for an eventual “Hello Twitter Family let me sell you discount laptop” scam"
199,"Money is so powerful... If you doubt it, go and by Twitter from @elonmusk and restore back your  Twitter Blue verification without payment.... Damn! https://t.co/U5kDAuUQC0"
200,Who could have foreseen such confusion in verifying things when Twitter changed its user verification system into a subscriber payment system?
201,"@daltina_ibojo @PoojaMedia @SirDavidBent Wait, I dont get.
Before verification payment, do you think Twitter doesnt generate revenue ni?
The Twitter blue is just another source. 
Dont get it twisted."
202,"@Am_Blujay @Anele Twitter Blue has been an option for a while,which has more options like edit etc. 
Elon is now saying his  subscription comes with the checkmark and it's the only way to get ""verified "" @Anele 's verification came too long in the process to take the payment shortcut now"
203,"@RedBullUpdates Twitter announced a while ago that legacy Twitter verifications would be removed on 4/20. 

They’re trying to get away from being influenced by/dependent on advertisers while also trying to cut down on bots via the payment verification method. So win win."
204,"In a nationally representative survey (n=300), most people believe a Twitter blue check requires actual verification of a person’s identity, not just a working phone number and payment. That misunderstanding is more common among older people &amp; people with lower digital literacy."
205,@BeatlesEarth I don’t understand the verification check now. Does it verify that your payment cleared and nothing else? How does it ‘verify’ that the account is the person the account says it is? #verification @Twitter @elonmusk @TwitterSupport
206,"The blue checkmark thing has been so stupid for so long. There should be a method of verification to prevent misinformation, but it became a “Twitter elites” thing instead- and this payment solution is even dumber."
207,@CritcalAI @ModernWarzone how do u pay for something without a credit card or debit card? your payment to Twitter is a level of verification.
208,@DMC_Ryan IMO there's real value in a social media website where you have to pay to participate and part of that payment is ACTUAL verification so you know that everyone you are interacting with is a real person. Unfortunately that's not what Twitter Blue is at all.
209,"@GrumpAdam @brianschatz Your presence and use of the platform, benefits #Twitter already. Key verification question is whether payment is direct or indirect.  In old system, ads in your feed subsidized and funded blue checks, who were arbitrarily assigned and who paid nothing."
210,"@formulajasper @RedBullUpdates @F1 yes, i can read, thank you. Saying twitter verification is only possible with payment is false though"
211,"Elon Musk could have kept the verification badge as it is and then introduce Twitter Blue and all its additional features for the $11 payment.

Maguire / 9ice / sevilla"
212,"#Beyonce 
#Lady_Gaga
#kim_kardishian 
#lebron_james 
and tens of stars lost Twitter verification due to @elonmusk new payment plans.
No 8$ no verification. https://t.co/H22RCLueWv"
213,"@IcyAnnOfficial 1/2 that's part of my problem, I used twitter perfectly fine for years and found artists and content creators based on the circles and other accounts I followed. *verification* should be for *verifying legitimacy*, not a payment plan to get engagement"
214,"The blue tick, once a mark of verification but now only of payment received, has been removed from all EURACTIV accounts and those of our journalists.

We keep a list of our team’s Twitter profiles here: https://t.co/ij0Durk2wa

NB: pay *extra* attention to what you read!"
215,"It looks like from now on Twitter Verification ticks are only available with payment 

All of the older legacy verified accounts have been stripped of their ticks 😬"
216,"#Breaking: Just in - People who were verified prior to twitter blue, and that are not subscribed to an monthly payment plan for verification have now lost their verification badge. #Twitter #Money https://t.co/GZfNeTPTWP"
217,Oh!  Perhaps on second reflection payment details for its Twitter Blue failed and it therefore had to remove legacy verification and exploded!
218,"Just to let everyone know, the @TwitterBlue verification process is pretty long. 48hours after making my payment and i still havent been able to use the benefits of twitter blue"
219,"Being verified comes at a cost, social media giants Twitter and Meta may start requiring payment from brands for their verification checkmarks. Read our latest blog at https://t.co/nVZwfK8550 for all you need to know! https://t.co/otBYSEuGAd"
220,"Some Right Wing Political Party's social media wings 
verified thousands of hate-spreading accounts after #twitter chief #Musk gave a payment option for verification of Twitter accounts used by citizens.
Verification rules should be reviewed once again 🙏 https://t.co/msTQhbchiG"
221,New Twitter Verification Policy: Payment Required https://t.co/1rCFjdm1Io #TwitterBlue #TwitterVerification https://t.co/KkAEqwt2PL
222,"@TwitterSupport  I changed my payment method from monthly to annual for twitter blue, but I lost the verification for some days and all the benefits, checking I appear subscribed, how could I solve this problem ? https://t.co/gtTWcl8wFk"
223,"@TwitterSupport  @elonmusk I changed my payment method from monthly to annual for twitter blue, but I lost the verification and all the benefits, checking I appear subscribed, how could I solve this problem ? https://t.co/3yRskVH0uK"
224,"@TwitterSupport I changed my payment method from monthly to annual for twitter blue, but I lost the verification and the benefits, checking I appear subscribed, how could I solve this problem ? https://t.co/WdbuWJo6Xm"
225,"I’ve decided to pay @elonmusk for Twitter Blue (despite that I am already verified - legacy verification), but this error message keeps popping up.

What’s the best way to make payment please? I’m tired of deleting tweets due of typographical errors.

I want to be able to edit. https://t.co/MBLSVPTmWa"
226,I think elon musk needs to put bitcoin payment for verification on twitter not everyone has a bank account in this new world
227,"@TwitterSupport I had Twitter blue with a monthly payment subscription, today (april 16/23) I changed to annual payment and I lost my verification and the benefits it brings. I check my subscription and it appears active. PLEASE HELP ME🙏🏼"
228,"@prisciladesigns money, low barrier to entry, payout requires identity verification, twitter shares this data with the payment processor. 😆 

I mean, it might not be the intention of the Subscriber’s Program per se, but it definitely is a consequence of the process of getting paid. https://t.co/bLiTemTfHA"
229,What is your opinion towards the recently launched payment of blue tick verification on Facebook and twitter which are too costy be maintained by ordinary persons.?
230,"Not true! Twitter has updated its verification policy, and now anyone can apply for verification. You need to have an active account with a profile picture, display name, and provide proof of identity. No payment required. Check out the link for the latest policy. #VerifyFacts"
231,"#ElonMusk  I’m not sure What happened with My Blue check verification. I’m still enrolled, and I checked My checking account I’m still being charged.for the Payment and I want the verification for my Twitter page Thanks I know Your wickedly busy https://t.co/7xffYh0jW2"
232,"I hate the idea of twitter subscription for verification and proof of authenticity. I’d be open to putting in a $100 refundable deposit to prove authenticity. 

“Staking” this way is more expensive for bots and attackers. You can also use “time since payment” as a signal."
233,".@elonmusk should sell Twitter. After that, the new owner(s) should undo all the changes that Muskrat did to this hellsite. No more paid verification. No more ""For You"" paywall to even be seen. No more amplification based on payment."
234,"@elonmusk @zerohedge And I could read that Times article if I pay, but if Twitter asks for a small payment for verification, it's somehow a horrible ask."
235,"Two days later, and I'm just sitting here waiting for ""verification,"" but Twitter still took my payment. What is the holdup, @TwitterSupport?"
236,"@90syankskid @xBongking420x @R0NMARINACClO @TomByron4 @JoeythebigboSs @rdubs97 @Robertvargas901 @BDW2577 @MaxSoncrant44 @realLauro5 I have a question is twitter going to eliminate those who have a verification blue check mark if you don't start on there $11,00 payment?"
237,"@elonmusk @Nakamigos After 3 days, and monthly payment, still under verification after changing my PFP.... 
@elonmusk 3 days for a pfp verif is a bit long no ? Maybe the Twitter's team do not like Naked #Nakamigos 🤣"
238,@901Lulu The most Elon thing imaginable is to make DOGE the currency of twitter and potentially the internet. Twitter is leading the way into “web3.” I do know that the current payment rails will eventually become obsolete along with archaic identity/credit card verification
239,"I understand why Elon wants to make payment verification necessary to generally use the platform and have a voice, I think Twitter will eventually (and should) go pay-to-use completely, bots are a political and financial weapon.. https://t.co/BMwmz5WsT0"
240,"WhatsApp has announced three additional security features - 'Account Protect', 'Device Verification' and 'Automatic Security Codes'

#WhatsApp #messaging #calling #videocalls #groupcalls #location #contact #picture #videos #document #sharing #payment #Facebook #Instagram #Twitter https://t.co/MOKRNxDAuW"
241,"If there was big money from being a payment/trading app, Twitter should be doing everything possible to verify users, not degrading the service and charging people for dubious verification."
242,"The removal of all legacy blue check marks on @Twitter now seems to be April 20th.
Only payment verification will provide users with their blue icon. Twitter's ability to generate monies is becoming increasingly problematic .
#socialmedia #twitter
https://t.co/HJVckLXKlS"
243,"@cb_doge Best to live your best in those 4.20 hours on Twitter, 
- I will die checking my pre payment to blue verification. 
- Just gonna die making sure my account will last another 20 years with Twitter Blue verification 😎
- I will choose to die as #Degen."
244,"I don't think we're being given much choice.  If this isn't another glitch, Twitter is becoming a zero sum game.  No payment/verification, no functionality."
245,@elonmusk Who are you to complain? You're charging for Twitter verification.  It should not be. Verification can be gained without a monthly payment grab-bag of 11$ per month and you know it.
246,"@PritishNandy @RDXThinksThat @elonmusk Unless you are going to US , Twitter HQ and paying in Cash or using Crypto. Any digital/online payment is verification of your identity. Welcome to the new world."
247,"@elonmusk Hello sir, how much time can we expect twitter blue verification to be done after successful payment?"
248,"Elon Musk don finally talk say be April 20, e go commot verification badge of all free Twitter blue tick accounts.

For those of you that have annual subscription fee of N40,000, remember us in your payment ooo😄
https://t.co/UeGgXhDdnU"
249,"@adamugarba @elonmusk @Twitter According to him, Yes, also waiting for him to start accepting #DOGE  as a payment for #Twitter verification.
Next bull season is gonna be fun with meme Coins #DOGE #SHIB #FLOKI  🚀🚀🚀"
250,@Twitter New pole with new verification/payment requirements set. Regarding elon step down would be nice. 💯
251,@Twitter We’ve already received follows from ChatGPT bots. Imagine this at scale if payment verification didn’t exist.
252,"Media Organizations should consider Twitter’s verification payment as a business expense. It’s kinda like paying for web hosting each month for them to have the ability to use the platform. 

Twitter “needs” to be profitable or it’ll eventually disappear. 

Anyone disagree, if so, why?"
253,"have a feeling we see a push back where no check on twitter is perceived as better 

this whole app has gone downhill at a rapid pace since ‘verification’ payment was implemented"
254,"@matteastwood @CTOAdvisor @mayunkj @elonmusk @jackmallers Twitter verification is not ideal today.  Needs to be more like banking KYC for me.  Having a banks account linked to an account is progress though.

Linking a bank account is also a first step to payment rails evolution, which is not bing talked about."
255,"Considering the numbers of anonymous accounts (many of which are bigger and more influential than yours), hard to see what’s so beneficial to Twitter in your proposal 
Very hard to see why verification by payment method still seems insufficient to you
You could simply say that you generally enjoyed 2 tier system"
256,"@TommyIgoe @controscience @MarinaMedvin @Jeff_Ermann Okay, but Is Twitter actually a social media company? Especially, if payment is the best verification they can come up with. Aren't you doing them a favor calling them a social media company? Look at the response rates. Imagine your real conversations having those reply rates."
257,"With the way things are going, I expect this headline in tomorrow's paper;

""GOVT TO ALLOCATE KES 6.1 BILLION FOR PAYMENT OF SENIOR GOVT STAFF TWITTER VERIFICATION BADGES"""
258,"The Deputy President, who has over 500,000 followers lost his verification on Sunday after failing to enroll for Twitter Blue, a payment feature of Twitter that lets one maintain their badge. https://t.co/DVsKXEQJ3w"
259,"@PaytmBank @NPCI_NPCI We have over 60 k stuck with paytm coz no non verification. Sent mails with many documents, sent DMs on Twitter and insta, been to local galleries, and all in vain. Having Paytm as a payment gateway for our Ecom set up has been a nightmare."
260,"@LouPas @Twitter What is ironic @LouPas is that @tumblr offers the same features @TwitterBlue offers albeit for free (minus the verification of course). If you want checkmarks near your name, #Tumblr gives you that for a one time payment."
261,"To be fair, the verification is not to divert attention. It is a coincidence. 

Even if it is Twitter Blue, you don't get your tick the same min, hour or day after your payment. Yes, you have access to other Twitter Blue features but the checkmark comes later after your profile has been verified (authenticated using your phone number). Sometimes, it takes hours, days and weeks. In fact, most times it takes days.

Even if it is legacy verified, you also would not know when your request will be approved.

Long and short, the blue tick is a coincidence and she has no control over when it would be on her profile. It has nothing to do with diverting attention."
262,"@TwitterCreators Do I have to have a blue check mark before I can communicate with you. I have subbed, Twitter took out the first month payment on April 2, and am just waiting on verification."
263,Twitter Blue is a verification of payment not a verification of identity. Some of you seem confused.
264,"Hiphop legend AKON disagree with Elon Musk over twitter badge payment.
Says he will never pay one dime for ""verification badge"" on a platform he helped build.

Who agrees with him?

#Grassrootsnews #grassrootsng #grassrootsgist #Akon #twitter #elonmusk https://t.co/J3R8SPWnuF"
265,"@gchihana Oh no, what a tragedy! How will Elon Musk ever survive without Chrissy Teigen and Lebron's payment for Twitter verification? #RIPCostaTitch"
266,"@elonmusk 
-Bought Twitter 
-Changed it’s dynamics
-Charging $ monthly verification 
-Changed Logo to #Doge 
If #Twitter accepts doge as a source of payment, there is currently approx over 

29 Million doge holders. 
Assuming Monthly verified 
(29m users) X ($7)=$203m/month😏"
267,"@Iraqveteran8888 Mute &amp; Block only hold weight if u have a paid for Blue check. This is supposed to limit what ur suggesting. As Blue vetting gets better, shenanigans reduce. With Elon Leading, I see Twitter becomes the ultimate verification &amp; Truth (&amp; payment) platform."
268,"@GreatRvr @FermisSocks @LudaLisl Thinking ahead, Twitter plans to evolve into a paypal-like payment system, as well as begin compensating content creators, among other things.

Those activities would necessitate beefing up verification of identities for users who wish to leverage the system for career/commerce."
269,"@TheSurvivalPodc Twitter poles would carry more weight if only verified people were able to vote on it and not bots or fake accounts.
And now verification is feesable to the average person with a small monthly payment. Whereas before it was more exclusive to established platforms."
270,"@NateMatykiewicz @fxn Does Twitter actually do any kind of identity verification? I thought they just accept payments.

And would they block accounts from posing as someone else? Or just happily accept the payment?

So do we really know who are the people behind the blue marks?"
271,"@TwitterBlue Hello, what happens with the approval of twitter, well, I am already subscribed and I made a modification 3 or 4 days ago and I still do not have my verification ticket, I kindly request a response, because my payment date arrives on the 23rd and I do not I will modify if they do not give a solution."
272,"🐶🐦 Is #Dogecoin taking over #Twitter? The platform's logo was replaced by the $DOGE logo, causing a 30% surge in its value. With @elonmusk's support, will Dogecoin be integrated as a payment option for Twitter's 'paid' blue tick verification? Stay tuned! 🚀 #crypto #ElonMusk https://t.co/GQkyyo4SDw"
273,"New York Times loses Twitter verification badge over payment dispute
https://t.co/fgEwNoNRcK"
274,"@GreyAreaUK @CaptLongboarder @AP You are anonymous.

That is different from Twitter verifying your identity.

And any credit card payment requires verification of identity."
275,"@dungeekin @GreyAreaUK @AP That requires payment verification.

So that proves you aren’t a bot, and gives you additional feature/benefits in return.

Features and benefits that were previously handed out to privileged and connected people only.

Welcome to liberal democracy on Twitter."
276,"🐶🐦 Is #Dogecoin taking over #Twitter? The platform's logo was replaced by the $DOGE logo, causing a 30% surge in its value. With @elonmusk's support, will Dogecoin be integrated as a payment option for Twitter's 'paid' blue tick verification? Stay tuned! 🚀 #crypto #ElonMusk"
277,I have a feeling that twitter will take #DOGE as payment method for verification.
278,@elonmusk will get serious returns on his investment in twitter. @verified @Twitter should introduce payment for verification via mobile money. @mtnug do you copy? @Airtel_Ug are you awake?
279,@elonmusk let us use Doge as payment for Twitter verification🚀🚀🚀🌚 @MattWallace888 @d
280,Australian news publishers palm off payment for Twitter Blue verification via @crikey_news https://t.co/fJUKRK93bv
281,@ItsLemonaid3 @CaptLongboarder @AP That was the *Legacy* verification criteria . Not Twitter Blue.  Twitter Blue just needs a payment method.
282,Australian news publishers palm off payment for Twitter Blue verification via @crikey_news https://t.co/hN0XpfBszI
283,"The DOGE is the new twitter logo. The social network adopts Dogecoin as its payment network for tips, verification etc. This becomes crypto's turning momentum and drives mass adoption. Dogecoin is #1 coin by capitalization and usage."
284,"If @Twitter gave more transparency into how they do payment verification, such as AVS, number of unique accounts per billing method, approved credit or financial institutions, etc - would people see the Blue check as a positive step in reducing bots, or would they still mock subs"
285,"@janetmachuka_ How significant is your contribution to its growth!? 

You see accounts like yours are why i support the payment. Previous verification criteria was very obscure. 

Getting verified on Twitter is likely what made you famous.  That is the case for many verified accounts."
286,"@Kalkushy @Michael_Block0 @DarkViperAU Sorry, but where did you hear that folks who paid for Twitter Blue get checked? 

Everything I have read shows there is no verification just payment for it. Thx fellow Matto enjoyer!"
287,"Every day #Twitter performs strangely, followers 📉 drop, verification advertising increases and its monthly payment is the predominant one, the twitter algorithm favors discerning in search of information 🤨🙄🤔"
288,"@TimSweeneyEpic Yea I have no faith in any epic games titles if this is the CEO, reeks of “they wouldn’t give me a badge, so I’m going to throw a tantrum” 

Also the answer to your last question, is Twitter with corporate verification only requiring payment if your a small business lmao"
289,"While I agree with a lot of this sentiment, Twitter Blue isn't fully without verification since they manually check accounts before issuing the checks as well as fraud checks on the payment systems. However, I 100% agree that there should be id verification involved and that's a huge oversight. That's supposed to be coming in the future. As far as Twitter making money, they've basically operated at a loss every single year with the exception of 2018/2019."
290,@henrilatr @oliverdarcy Payment process has a name attached to it 🤷‍♂️ I would check with Twitter support. I know when I subscribed it took 3-4 days for the Verification Process to complete before I was Verified.
291,"@gregkash I actually think uniting the two is a reasonable compromise and decent business idea. But a Twitter Blue check shouldn't just represent payment it should represent some level of Verification as well, perhaps ""real name"" verificiation or something to that effect."
292,"@TimSweeneyEpic Tim, the *open* question is whether or not Twitter will do *real* verification in exchange for the payment.

Musk lies a lot https://t.co/k7oQ0LbQ7B.

Let's wait and see."
293,"@KyleStarburst @mattyglesias @elonmusk @nytimes @Twitter I support payment from users who make profits via Twitter e.g celebrities, companies, influencers, etc. Not from users who don’t make profits but require verification to distinguish them from other users or bots whose account looks similar to theirs"
294,"@Bernstein There’s no verification process whatsoever for the ones on blue (no, receiving payment is not a verification process). So explain to me how having Twitter blue prevents your « reader to be confused » as opposed to how it was (flawed as it was) in legacy"
295,"Why does #Twitter take down New York Times' yellow checkmark? I thought yellow checkmark and silver checkmark don't require any payment. If @POTUS doesn't pay for verification, will you take down that checkmark? @elonmusk"
296,"@Markfre66771303 @nytimes The irony is Twitter is requiring payment for verification to curtail rampant propaganda and disinformation campaigns, and the NY Times dropping out is one of the first signs of it working."
297,"@oliverdarcy “@nytimes lost their verification badge due to failure of payment.”

“After asking for special treatment, @nytimes lost their blue check when @elonmusk told them Twitter is a platform based on equality.”

There. Fixed it."
298,"@SustantialStuff @PoliticsVerse @SCasriel So NYT can ask for payment to read one article. But Twitter can’t ask for payment to shower verification, boost the NYT posts and comments to the top, as many other feature not given to a free account? Interesting logic."
299,@elonmusk You won't have verified accounts. You're referring to Monthly Twitter Blue Subscribers who receive a blue check if they pay the monthly fee. No ID verification involved. Just payment confirmation. That won't bring back advertisers or much meaningful revenue.
300,"@ClownWorld_ @nytimes won't pay for @Twitter verification ...

Does the Times charge for anything? Is it a problem when people want to access their work without paying? Does the Times use any online services, such as databases, that require payment?

This is just a juvenile anti-Musk rant."
301,A decent perspective save for the fact that credit card/payment information is used generally across the economy as a means of verification.   It just doesn't fit into the domain specific concept that twitter maintained before.
302,"@gdpatriot_1776 @insanemansays @alx @nytimes Pretty sure it is necessary.
Consider that pre-Musk, Twitter was a consistent loser, I believe they only posted 2 profitable quarters in history.
Countering AI spam without verification/payment is not only a major engineering challenge, but has a substantial cost burden."
303,"@Shane_BSer @johniadarola ... subscription service with a few perks. Cool. They didn't have to mess with the verification system to do that.

Btw, Elon's annual payment for the loan is around $1.5 billion, iirc. Twitter in its prime never broke $1 billion in revenue, let alone profit. He's pretty screwed."
304,"@isucyclonesfan @ZaleskiLuke @StevenHoagland @elonmusk @cb_doge he doesn't have a blue check because he payed for twitter blue, he got a verification mark before this payment option.. use your eyes 💀"
305,"@NathanCHubbard The value of verification is obvious. Not sure why payment for checks is necessary. Twitter should be able to mine the trove of data from the site for sale to advertisers as well as stream periodic, particularized ads to users. Charges for checks seems unnecessary and irritant."
306,"I think that the monthly cost of Twitter to maintain the blue verification seal is not very sustainable in its payment for many who managed to have it for merits, I think that Twitter is losing attractiveness, in addition to the bots followers that stop following, which are many."
307,"@Ro__183 @ZacksJerryRig They can do the same thing by simply paying $8, there is no actual verification, only payment. The old twitter system was atleast 80-90% correct (scammers did buy verified accounts even back then, though not from Twitter directly like they can easily do now)"
308,@BrianHatano @GhoulLenny @DrJBhattacharya They're the customer and the product now. Twitter needs to stop losing money before it can find better verification. Verification of payment is mostly all that is being verified. Meanwhile anyone not paying will be deboosted. It's hurting 99.8% of the user base who don't pay.
309,"@DrJBhattacharya Twitter 2.0 will literally verify anyone who pays, regardless of who or what they are. It's not really verification, it's just verification of payment."
310,"@tmsruge @elonmusk The legacy verification system does not address the existential problems that Twitter and other social networks face.

The introduction of a payment mechanism is an attempt to evolve the system such that it does."
311,"@HOUmanReporter *deep sigh*

Old verification didn’t require payment. It was done by Twitter independently using humans to verify accounts by using real data. New checkmarks you only have to pay for and you get it, regardless of if you’re notable or not."
312,"Soon, this place will not have a verification system anymore. Taking over the spot in the UI is a vanity badge that signifies nothing more a monthly payment to Twitter. Or being a top 10K followed account?  Can't keep track anymore. Anyway, hello again impersonation problem!"
313,Now that celebs have decided they’re not paying $8 for verification on twitter and the whole move seems to have backfired (seems to) I wonder what meta will do with their current payment push? I can def see celebs packing up and leaving twitter entirely.
314,"@Liannabelle88 The steel man argument in favor of paying is to provide financial support to Twitter to ditch ad driven monetization which is vulnerable to censorship. Payment makes you the customer, and aids in id verification. The recommendation algo needs serious work regardless."
